Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,510.53003,535.39996,509.00,532.17004,164873100,72.34723
2012-12-28,510.28998,514.47998,508.12,509.58997,88569600,69.27753
2012-12-27,513.54004,516.25,504.66003,515.06,113780100,70.02116
2012-12-26,519.00,519.46002,511.12,513.00,75609100,69.74111
2012-12-24,520.34998,524.25,518.71002,520.16998,43938300,70.71585
2012-12-21,512.46997,519.66998,510.24005,519.33002,149067100,70.60166
2012-12-20,530.00,530.20001,518.87994,521.73004,120422400,70.92793
2012-12-19,531.47003,533.70001,525.50,526.31,112342300,71.55058
2012-12-18,525.00,534.90002,520.25,533.90002,156421300,72.58242
2012-12-17,508.93005,520.00,501.23001,518.82996,189401800,70.53368
2012-12-14,514.75,518.13,505.57996,509.78998,252394800,69.30472
2012-12-13,531.15002,537.63995,525.80005,529.69,156314900,72.01007
2012-12-12,547.77002,548.00,536.27002,539.00,121786000,73.27575
2012-12-11,539.77002,549.56,537.37,541.39001,148086400,73.60066
2012-12-10,525.00,538.51001,521.58002,529.81995,157621100,72.02775
2012-12-07,553.39996,555.20007,530.00,533.25,196760200,72.49405
2012-12-06,528.94,553.31,518.63,547.23999,294303100,74.39595
2012-12-05,568.91003,569.25,538.76996,538.79004,261159500,73.2472
2012-12-04,581.80005,581.80005,572.13,575.85004,139267100,78.28542
2012-12-03,593.64996,594.59003,585.50,586.19,91070000,79.69112
2012-11-30,586.78998,588.39996,582.67999,585.27997,97829900,79.5674
2012-11-29,590.21997,594.25,585.25,589.36005,128674700,80.12207
2012-11-28,577.26996,585.79993,572.26001,582.93994,130216100,79.24928
2012-11-27,589.54999,590.41998,580.09998,584.78003,133332500,79.49943
2012-11-26,575.90002,590.00,573.71002,589.52997,157644900,80.14517
2012-11-23,567.17004,572.00,562.59998,571.50,68206600,77.69405
2012-11-21,564.25,567.37,556.60004,561.70001,93250500,76.36176
2012-11-20,571.91003,571.94995,554.57996,560.90997,160688500,76.25436
2012-11-19,540.71008,567.50,539.87994,565.72998,205829400,76.90963
2012-11-16,525.20001,530.00,505.75,527.67999,316723400,71.73682
2012-11-15,537.53003,539.50,522.62,525.62,197477700,71.45676
2012-11-14,545.50,547.44995,536.17993,536.88,119292600,72.98754
2012-11-13,538.90997,550.47998,536.36005,542.89996,133237300,73.80594
2012-11-12,554.15002,554.50,538.64996,542.83002,128950500,73.79642
2012-11-09,540.41998,554.88,533.71997,547.06,232478400,74.37148
2012-11-08,560.63,562.22998,535.29004,537.75,264036500,73.10581
2012-11-07,573.83997,574.53998,555.75,558.00,198412200,75.85876
2012-11-06,590.22998,590.74005,580.09003,582.85004,93729300,78.87679
2012-11-05,583.52002,587.76996,577.60004,584.62,132283900,79.11633
2012-11-02,595.88995,596.95001,574.75,576.79999,149843400,78.05805
2012-11-01,598.21997,603.00,594.17004,596.54004,90324500,80.72945
2012-10-31,594.88,601.96008,587.69995,595.31995,127500800,80.56435
2012-10-26,609.43005,614.00,591.00,604.00,254608200,81.73901
2012-10-25,620.00,622.00,605.54999,609.53998,164081400,82.48873
2012-10-24,621.43994,626.54999,610.64001,616.82996,139631800,83.47528
2012-10-23,631.00,633.89996,611.69995,613.36005,176786400,83.0057
2012-10-22,612.41998,635.38,610.76001,634.02997,136682700,85.80295
2012-10-19,631.04999,631.77002,609.62,609.84003,186021500,82.52934
2012-10-18,639.59003,642.06006,630.00,632.63995,119156100,85.61484
2012-10-17,648.87,652.78992,644.00,644.60999,97259400,87.23474
2012-10-16,635.37,650.29999,631.00,649.78998,137442900,87.93575
2012-10-15,632.34998,635.13,623.84998,634.76001,108125500,85.90174
2012-10-12,629.56,635.38,625.29999,629.71002,115003700,85.21833
2012-10-11,646.50,647.19995,628.09998,628.09998,136520300,85.00045
2012-10-10,639.74005,644.97998,637.00,640.90997,127589000,86.73402
2012-10-09,638.64996,640.48999,623.54999,635.84998,209649300,86.04925
2012-10-08,646.88,647.56,636.11005,638.16998,159498500,86.36321
2012-10-05,665.20001,666.00,651.28003,652.58997,148501500,88.31467
2012-10-04,671.25,674.25,665.54999,666.79999,92681400,90.2377
2012-10-03,664.86005,671.86005,662.63,671.45001,106070300,90.86699
2012-10-02,661.81,666.35004,650.64996,661.31006,156998100,89.49474
2012-10-01,671.15997,676.75,656.50,659.39001,135898700,89.23491
2012-09-28,678.75,681.10999,666.75,667.10004,133777700,90.27831
2012-09-27,664.28998,682.16998,660.34998,681.32001,148522500,92.20268
2012-09-26,668.73999,672.69,661.19995,665.17999,144125800,90.01846
2012-09-25,688.26001,692.77997,673.00,673.54004,129697400,91.14983
2012-09-24,686.86005,695.12,683.00,690.79004,159941600,93.48426
2012-09-21,702.41003,705.07001,699.35999,700.09003,142897300,94.74283
2012-09-20,699.15997,700.06,693.62,698.70007,84142100,94.55472
2012-09-19,700.26001,703.98999,699.56995,702.10004,81718700,95.01483
2012-09-18,699.88,702.33002,696.41998,701.91003,93375800,94.98912
2012-09-17,699.34998,699.79999,694.61005,699.77997,99507800,94.70086
2012-09-14,689.95996,696.97998,687.88995,691.28003,150118500,93.55057
2012-09-13,677.37,685.50,674.77002,682.97998,149590000,92.42733
2012-09-12,666.85004,669.89996,656.00,669.79004,178058300,90.64234
2012-09-11,665.10999,670.09998,656.50,660.59003,125995800,89.39731
2012-09-10,680.44995,683.29004,662.09998,662.73999,121999500,89.68826
2012-09-07,678.05005,682.47998,675.76996,680.44,82416600,92.0836
2012-09-06,673.16998,678.28998,670.79999,676.27002,97799100,91.51927
2012-09-05,675.57001,676.34998,669.59998,670.22998,84093800,90.70187
2012-09-04,665.75995,675.14001,664.50,674.97003,91973000,91.34335
2012-08-31,667.25,668.60004,657.25,665.23999,84580300,90.02659
2012-08-30,670.63995,671.54993,662.85004,663.87,75674900,89.84119
2012-08-29,675.25,677.66998,672.59998,673.46997,50701700,91.14035
2012-08-28,674.97998,676.09998,670.66998,674.79999,66854200,91.32034
2012-08-27,679.99005,680.87,673.54004,675.67999,106752100,91.43942
2012-08-24,659.51001,669.47998,655.54999,663.21997,109335100,89.75322
2012-08-23,666.10999,669.89996,661.14996,662.63,105032200,89.67338
2012-08-22,654.41998,669.00,648.10999,668.87,141330700,90.51783
2012-08-21,670.82001,674.88,650.33002,656.06006,203179900,88.78426
2012-08-20,650.00995,665.15002,649.90002,665.15002,153346200,90.01441
2012-08-17,640.00,648.19,638.81,648.10999,110690300,87.70839
2012-08-16,631.21002,636.76001,630.50,636.33997,63633500,86.11556
2012-08-15,631.29993,634.00,627.75,630.82996,64335600,85.3699
2012-08-14,631.87,638.61005,630.20996,631.69,85042300,85.48628
2012-08-13,623.38995,630.00,623.25,630.00,69708100,85.25758
2012-08-10,618.70996,621.76001,618.69995,621.70007,48734700,84.13435
2012-08-09,617.85004,621.72998,617.79999,620.72998,55410600,84.00307
2012-08-08,619.39001,623.87994,617.09998,619.85999,61176500,83.52671
2012-08-07,622.76996,625.00,618.03998,620.91003,72611700,83.6682
2012-08-06,617.29004,624.87,615.26001,622.54993,75525800,83.88918
2012-08-03,613.63,617.98004,611.55994,615.69995,86230200,82.96614
2012-08-02,602.84003,610.69,600.25,607.78998,83039600,81.90026
2012-08-01,615.90997,616.39996,603.00,606.81,96125400,81.76821
